,model,params,score,train_time,test_time
92,Random Forest Classifier,"(100, 10, 4, 3, 'auto')",33.333,1.369291463997797,0.33967818100063596
93,Random Forest Classifier,"(100, 10, 4, 3, 'sqrt')",33.333,1.3626819829951273,0.3285526330000721
94,Random Forest Classifier,"(100, 10, 4, 3, 'log2')",38.095,1.1744469659970491,0.3301622020007926
95,Random Forest Classifier,"(100, 10, 4, 5, 'auto')",38.095,1.3471172400022624,0.33103577599831624
96,Random Forest Classifier,"(100, 10, 4, 5, 'sqrt')",38.095,1.376459225997678,0.32440966800641036
97,Random Forest Classifier,"(100, 10, 4, 5, 'log2')",33.333,1.1183494240030996,0.3309926930014626
98,Random Forest Classifier,"(100, 10, 6, 1, 'auto')",38.095,1.410616752000351,0.32817711599636823
99,Random Forest Classifier,"(100, 10, 6, 1, 'sqrt')",38.095,1.3965229120003642,0.33368458000040846
100,Random Forest Classifier,"(100, 10, 6, 1, 'log2')",38.095,1.1604069320019335,0.33217337200039765
101,Random Forest Classifier,"(100, 10, 6, 3, 'auto')",33.333,1.374426640002639,0.3295069710002281
102,Random Forest Classifier,"(100, 10, 6, 3, 'sqrt')",33.333,1.3789270030029002,0.33008356299978914
103,Random Forest Classifier,"(100, 10, 6, 3, 'log2')",38.095,1.1831132759980392,0.32900795800378546
104,Random Forest Classifier,"(100, 10, 6, 5, 'auto')",38.095,1.377013845005422,0.3277415580014349
105,Random Forest Classifier,"(100, 10, 6, 5, 'sqrt')",38.095,1.398629309995158,0.35203020599874435
106,Random Forest Classifier,"(100, 10, 6, 5, 'log2')",33.333,1.1250059840022004,0.3267599850005354
107,Random Forest Classifier,"(200, 10, 2, 1, 'auto')",33.333,2.8132013590002316,0.49609431000135373
108,Random Forest Classifier,"(200, 10, 2, 1, 'sqrt')",33.333,2.778199610002048,0.4991971170020406
109,Random Forest Classifier,"(200, 10, 2, 1, 'log2')",33.333,2.2810033209971152,0.4935903449950274
110,Random Forest Classifier,"(200, 10, 2, 3, 'auto')",33.333,2.7000571789976675,0.5032687710045138
111,Random Forest Classifier,"(200, 10, 2, 3, 'sqrt')",33.333,2.717866487997526,0.5011643070029095
112,Random Forest Classifier,"(200, 10, 2, 3, 'log2')",38.095,2.2678211300008115,0.498251083001378
113,Random Forest Classifier,"(200, 10, 2, 5, 'auto')",38.095,2.7327957689994946,0.4900302950045443
114,Random Forest Classifier,"(200, 10, 2, 5, 'sqrt')",38.095,2.7106842040011543,0.5027246730023762
115,Random Forest Classifier,"(200, 10, 2, 5, 'log2')",33.333,2.2280915929950424,0.4970453810019535
116,Random Forest Classifier,"(200, 10, 4, 1, 'auto')",33.333,2.748768122997717,0.48742608800239395
117,Random Forest Classifier,"(200, 10, 4, 1, 'sqrt')",33.333,2.73596508600167,0.5140962919977028
118,Random Forest Classifier,"(200, 10, 4, 1, 'log2')",38.095,2.2512870369973825,0.4890037270015455
119,Random Forest Classifier,"(200, 10, 4, 3, 'auto')",33.333,2.7126658439956373,0.4915956390032079
120,Random Forest Classifier,"(200, 10, 4, 3, 'sqrt')",33.333,2.714557244995376,0.48683284699654905
121,Random Forest Classifier,"(200, 10, 4, 3, 'log2')",38.095,2.273084029999154,0.48626279400195926
122,Random Forest Classifier,"(200, 10, 4, 5, 'auto')",38.095,2.7072944960018503,0.49062099299771944
123,Random Forest Classifier,"(200, 10, 4, 5, 'sqrt')",38.095,2.7028230109935976,0.4911864909954602
124,Random Forest Classifier,"(200, 10, 4, 5, 'log2')",33.333,2.2373571790012647,0.48899512000207324
